species,year,orig_grid
species13,2003,SK53G
species13,2006,SK53G
species13,2006,SK53G
species13,2006,SK53G
species13,2006,SK53G
species13,2006,SK53G
species13,2006,SK53G
species13,2006,SK53G
species13,2006,SK53G
species13,2007,SK53G
species13,2007,SK53G
species13,2007,SK53G
species13,2007,SK53G
species13,2008,SK53G
species13,2008,SK53G
species13,2008,SK53G
species13,2008,SK53G
species13,2008,SK53G
species13,2009,SK53G
species13,2009,SK53G
species13,2009,SK53G
species13,2009,SK53G
species13,2011,SK53G
species13,2011,SK53G
species13,2011,SK53G
species13,2006,SK53G
species13,2006,SK53G
species13,2006,SK53G
species13,2007,SK53G
species13,2007,SK53G
species13,1998,SK53H
species13,1998,SK53H
species13,1998,SK53H
species13,1998,SK53H
species13,1998,SK53H
species13,1999,SK53H
species13,1999,SK53H
species13,1999,SK53H
species13,1999,SK53H
species13,1999,SK53H
species13,1999,SK53H
species13,1999,SK53H
species13,2000,SK53H
species13,2000,SK53H
species13,2000,SK53H
species13,2000,SK53H
species13,2000,SK53H
species13,2000,SK53H
species13,2000,SK53H
species13,2001,SK53H
species13,2001,SK53H
species13,2001,SK53H
species13,2001,SK53H
species13,2001,SK53H
species13,2001,SK53H
species13,2001,SK53H
species13,2001,SK53H
species13,2001,SK53H
species13,2001,SK53H
species13,2001,SK53H
species13,2001,SK53H
species13,2001,SK53H
species13,2001,SK53H
species13,2001,SK53H
species13,2002,SK53H
species13,2002,SK53H
species13,2002,SK53H
species13,2002,SK53H
species13,2002,SK53H
species13,2002,SK53H
species13,2002,SK53H
species13,2002,SK53H
species13,2002,SK53H
species13,2002,SK53H
species13,2002,SK53H
species13,2003,SK53H
species13,2003,SK53H
species13,2003,SK53H
species13,2003,SK53H
species13,2003,SK53H
species13,2003,SK53H
species13,2003,SK53H
species13,2003,SK53H
species13,2003,SK53H
species13,2003,SK53H
species13,2003,SK53H
species13,2004,SK53H
species13,2004,SK53H
species13,2004,SK53H
species13,2004,SK53H
species13,2004,SK53H
species13,2004,SK53H
species13,2005,SK53H
species13,2005,SK53H
species13,2005,SK53H
species13,2005,SK53H
species13,2006,SK53H
species13,2006,SK53H
species13,2006,SK53H
species13,2006,SK53H
species13,2006,SK53H
species13,2006,SK53H
species13,2006,SK53H
species13,2006,SK53H
species13,2006,SK53H
species13,2006,SK53H
species13,2007,SK53H
species13,2008,SK53H
species13,2008,SK53H
species13,2009,SK53H
species13,2009,SK53H
species13,2009,SK53H
species13,2011,SK53H
species13,2004,SK53K
species13,2005,SK53K
species13,2005,SK53K
species13,2005,SK53K
species13,2005,SK53K
species13,2006,SK53K
species13,2007,SK53K
species13,2007,SK53K
species13,2008,SK53K
species13,2010,SK53K
species13,1999,SK53L
species13,2000,SK53L
species13,2007,SK53L
species13,2007,SK53L
species13,2007,SK53L
species13,2007,SK53L
species13,2007,SK53L
species13,2007,SK53L
species13,2007,SK53L
species13,2007,SK53L
species13,2007,SK53L
species13,2007,SK53L
species13,2007,SK53L
species13,2007,SK53L
species13,2008,SK53L
species13,2009,SK53L
species13,2010,SK53L
species13,2010,SK53L
species13,2010,SK53L
species13,1999,SK53M
species13,2005,SK53M
species13,2005,SK53M
species13,2005,SK53M
species13,2005,SK53M
species13,2005,SK53M
species13,2006,SK53M
species13,2006,SK53M
species13,2006,SK53M
species13,2007,SK53M
species13,2009,SK53M
species13,2004,SK53M
species13,2004,SK53M
species13,2005,SK53M
species13,2005,SK53M
species13,2005,SK53M
species13,2006,SK53M
species13,2006,SK53M
